Company,WCTA,RETA,EBITTA,MVEBVTD,SATA,Status
1,36.7,-62.8,-89.5,54.1,1.7,Bankrupt
2,24,3.3,-3.5,20.9,1.1,Bankrupt
3,-61.6,-120.8,-103.2,24.7,2.5,Bankrupt
4,-1,-18.1,-28.8,36.2,1.1,Bankrupt
5,18.9,-3.8,-50.6,26.4,0.9,Bankrupt
6,-57.2,-61.2,-56.6,11,1.7,Bankrupt
7,3,-20.3,-17.4,8,1,Bankrupt
8,-5.1,-194.5,-25.8,6.5,0.5,Bankrupt
9,17.9,20.8,-4.3,22.6,1,Bankrupt
10,5.4,-106.1,-22.9,23.8,1.5,Bankrupt
11,23,-39.4,-35.7,69.1,1.2,Bankrupt
12,-67.6,-164.1,-17.7,8.7,1.3,Bankrupt
13,-185.1,-308.9,-65.8,35.7,0.8,Bankrupt
14,13.5,7.2,-22.6,96.1,2,Bankrupt
15,-5.7,-118.3,-34.2,21.7,1.5,Bankrupt
16,72.4,-185.9,-280,12.5,6.7,Bankrupt
17,17,-34.6,-19.4,35.5,3.4,Bankrupt
18,-31.2,-27.9,6.3,7,1.3,Bankrupt
19,14.1,-48.2,6.8,16.6,1.6,Bankrupt
20,-60.6,-49.2,-17.2,7.2,0.3,Bankrupt
21,26.2,-19.2,-36.7,90.4,0.8,Bankrupt
22,7,-18.1,-6.5,16.5,0.9,Bankrupt
23,-53.1,-98,-20.8,26.6,1.7,Bankrupt
24,-17.2,-129,-14.2,267.9,1.3,Bankrupt
25,32.7,-4,-15.8,177.4,2.1,Bankrupt
26,26.7,-8.7,-36.3,32.5,2.8,Bankrupt
27,-7.7,-59.2,-12.8,21.3,2.1,Bankrupt
28,18,-13.1,-17.6,14.6,0.9,Bankrupt
29,2.03,-38,1.6,7.7,1.2,Bankrupt
30,-35.3,-57.9,0.7,13.7,0.8,Bankrupt
31,5.1,-8.8,-9.1,100.9,0.9,Bankrupt
32,0.01,-64.7,-4,0.7,0.1,Bankrupt
33,25.2,-11.4,4.8,7,0.9,Bankrupt
34,35.2,43,16.4,99.1,1.3,Solvent
35,38.8,47,16,126.5,1.9,Solvent
36,14,-3.3,4,91.7,2.7,Solvent
37,55.1,35,20.8,72.3,1.9,Solvent
38,59.3,46.7,12.6,724.1,0.9,Solvent
39,33.6,20.8,12.5,152.8,2.4,Solvent
40,52.8,33,23.6,475.9,1.5,Solvent
41,45.6,26.1,10.4,287.9,2.1,Solvent
42,47.4,68.6,13.8,581.3,1.6,Solvent
43,40,37.3,33.4,228.8,3.5,Solvent
44,69,59,23.1,406,5.5,Solvent
45,34.2,49.6,23.8,126.6,1.9,Solvent
46,47,12.5,7,53.4,1.8,Solvent
47,15.4,37.3,34.1,570.1,1.5,Solvent
48,56.9,35.3,4.2,240.3,0.9,Solvent
49,43.8,49.5,25.1,115,2.6,Solvent
50,20.7,18.1,13.5,63.1,4,Solvent
51,33.8,31.4,15.7,144.8,1.9,Solvent
52,35.3,21.5,-14.4,90,1,Solvent
53,24.4,8.5,5.8,149.1,1.5,Solvent
54,48.9,40.6,5.8,82,1.8,Solvent
55,49.9,34.6,26.4,310,1.8,Solvent
56,54.8,19.9,26.7,239.9,2.3,Solvent
57,39,17.4,12.6,60.5,1.3,Solvent
58,53,54.7,14.6,771.7,1.7,Solvent
59,20.1,53.5,20.6,307.5,1.1,Solvent
60,53.7,35.9,26.4,289.5,2,Solvent
61,46.1,39.4,30.5,700,1.9,Solvent
62,48.3,53.1,7.1,164.4,1.9,Solvent
63,46.7,39.8,13.8,229.1,1.2,Solvent
64,60.3,59.5,7,226.6,2,Solvent
65,17.9,16.3,20.4,105.6,1,Solvent
66,24.7,21.7,-7.8,118.6,1.6,Solvent
