Dallas,Greenbay,Denver,Miami,Sanfrancisco,,,,,,,,,,,,
250,260,270,260,247,,,,,,,,,,,,
280,271,250,255,249,,,,,,,,,,,,
290,258,281,265,255,,,,,,Anova: Single Factor,,,,,,
275,263,273,257,247,,,,,,,,,,,,
279,267,257,268,244,,,,,,SUMMARY,,,,,,
232,254,264,263,245,,,,,,Groups,Count,Sum,Average,Variance,,
229,255,233,247,249,,,,,,Dallas,17,4543,267.2352941,909.9411765,,
298,250,254,253,260,,,,,,Greenbay,17,4267,251,291.625,,
233,248,268,251,217,,,,,,Denver,17,4323,254.2941176,263.5955882,,
298,240,252,252,208,,,,,,Miami,17,4234,249.0588235,281.0588235,,
299,254,256,266,228,,,,,,Sanfrancisco,17,4094,240.8235294,288.5294118,,
289,275,265,264,253,,,,,,,,,,,,
217,270,252,210,249,,,,,,,,,,,,
256,225,256,236,223,,,,,,ANOVA,,,,,,
245,222,235,225,221,,,,,,Source of Variation,SS,df,MS,F,P-value,F crit
253,230,216,230,228,,,,,,Between Groups,6303.223529,4,1575.805882,3.872234629,0.006307512,2.485884938
320,225,241,232,271,,,,,,Within Groups,32556,80,406.95,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,Total,38859.22353,84,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1575.805882,3.872234629,,2.485884938
,,,,,,,,,,,,,406.95,,,
